fir_id,district,station_id,crime_type,date,time,lat,lon,status,mo,case_summary,bns_sections,accused_ids,victim_id,vehicle,phone_hash,synthetic,data_label
SYN-2025-BLR-001,Bengaluru South,PS-BLR-JYN,Motorcycle Theft,2025-11-08,21:40,12.9253,77.594,Under Investigation,"Two-person team targets bikes parked near metro exit, breaks handle lock, uses duplicate ignition key.",Synthetic report: black motorcycle removed from public parking near Jayanagar metro after 9 PM.,"303(2), 317","[""A-112"",""A-205""]",V-501,KA-05-SYN-1122,PH-HASH-711,true,SYNTHETIC DEMO DATA
SYN-2025-BLR-014,Bengaluru South,PS-BLR-BSK,Motorcycle Theft,2025-11-16,22:15,12.9186,77.573,Open,"Two-person team targets commuter bikes near bus stop, breaks handle lock, moves vehicle towards outer ring road.",Synthetic report: motorcycle stolen near Banashankari bus stand during evening crowd.,"303(2), 317","[""A-112""]",V-518,KA-05-SYN-1189,PH-HASH-711,true,SYNTHETIC DEMO DATA
SYN-2025-MYS-006,Mysuru,PS-MYS-LKR,Chain Snatching,2025-10-03,19:25,12.3169,76.651,Charge Sheet Filed,Rider-pillion pair on scooter approaches pedestrian from left side and snatches gold chain near market road.,Synthetic report: evening chain snatching reported near crowded commercial lane.,"304(2), 3(5)","[""A-301"",""A-302""]",V-601,KA-09-SYN-3001,PH-HASH-901,true,SYNTHETIC DEMO DATA
SYN-2025-MYS-011,Mysuru,PS-MYS-VVP,Chain Snatching,2025-10-10,19:45,12.3225,76.6381,Under Investigation,Rider-pillion pair on scooter approaches pedestrian from left side; target selected near dimly-lit lane.,Synthetic report: similar evening chain snatching with scooter-based escape.,"304(2), 3(5)","[""A-301""]",V-612,KA-09-SYN-3001,PH-HASH-901,true,SYNTHETIC DEMO DATA
SYN-2025-HUB-009,Hubballi-Dharwad,PS-HUB-KES,UPI Fraud,2025-09-19,14:05,15.3655,75.1228,Open,"Caller impersonates bank support, sends malicious UPI collect request, transfers amount through mule account.",Synthetic report: victim lost money after responding to fake bank verification call.,"318(4), IT Act 66D","[""A-450""]",V-701,NA,PH-HASH-450,true,SYNTHETIC DEMO DATA
SYN-2025-MNG-004,Mangaluru,PS-MNG-PAN,UPI Fraud,2025-09-22,13:55,12.861,74.8439,Open,"Caller impersonates bank support, uses same wording and mule account pattern as earlier fraud case.",Synthetic report: fraudulent collect request sent after spoofed verification call.,"318(4), IT Act 66D","[""A-450"",""A-451""]",V-708,NA,PH-HASH-450,true,SYNTHETIC DEMO DATA
SYN-2025-BLR-027,Bengaluru South,PS-BLR-JYN,House Burglary,2025-08-22,02:30,12.9243,77.5916,Open,Entry through rear window between 1 AM and 4 AM; targets locked independent houses.,Synthetic report: jewellery and electronics reported missing from locked home.,"331, 305","[""A-777""]",V-811,KA-03-SYN-7777,PH-HASH-777,true,SYNTHETIC DEMO DATA
SYN-2025-BLR-033,Bengaluru South,PS-BLR-BSK,House Burglary,2025-08-29,02:10,12.9172,77.5722,Open,Entry through rear window between 1 AM and 4 AM; CCTV shows same small goods vehicle nearby.,Synthetic report: repeated night burglary pattern near residential layout.,"331, 305","[""A-777"",""A-778""]",V-819,KA-03-SYN-7777,PH-HASH-777,true,SYNTHETIC DEMO DATA
SYN-2026-LEG-1003,Mysuru,PS-MYS-LKR,Motorcycle Theft,2025-11-02,20:35,12.3171,76.6508,Open,Duplicate key used for motorcycle theft near railway parking after 8 PM.,Synthetic report: motorcycle removed from Mysuru railway parking during evening rush.,"303(2), 317","[""A-909""]",V-901,KA-09-MX-4481,PH-HASH-MYS-909,true,SYNTHETIC DEMO DATA
SYN-2026-LEG-1004,Mysuru,PS-MYS-DVR,Motorcycle Theft,2025-11-07,21:10,12.3101,76.6535,Closed,Duplicate key used at night; target motorcycle parked near railway approach road.,Synthetic report: railway-area motorcycle theft pattern closed after vehicle recovery.,"303(2), 317","[""A-909"",""A-910""]",V-902,KA-09-MX-4481,PH-HASH-MYS-909,true,SYNTHETIC DEMO DATA
SYN-2026-LEG-1008,Mysuru,PS-MYS-LKR,Motorcycle Theft,2025-11-14,22:05,12.3163,76.6499,Open,Railway parking motorcycle theft after 10 PM; duplicate key and quick exit route used.,Synthetic report: two-wheeler stolen from railway parking row with repeated duplicate-key MO.,"303(2), 317","[""A-909""]",V-903,KA-09-MX-4481,PH-HASH-MYS-909,true,SYNTHETIC DEMO DATA
SYN-2026-LEG-1015,Mysuru,PS-MYS-DVR,Motorcycle Theft,2025-11-21,20:55,12.3093,76.6527,Under Investigation,Duplicate key used near railway parking; offender selected commuter motorcycle between 8 PM and 11 PM.,Synthetic report: motorcycle theft around Devaraja railway approach with shared phone and vehicle pattern.,"303(2), 317","[""A-909"",""A-910""]",V-904,KA-09-MX-4481,PH-HASH-MYS-909,true,SYNTHETIC DEMO DATA
SYN-2026-BLR-0013,Bengaluru South,PS-BLR-SYN-01,Mobile Phone Theft,2024-08-13,12:36,12.99971,77.64442,Open,Offender exploits a crowded queue or bus boarding point and transfers the handset to an associate.,Synthetic report of a handset theft in a crowded public place.,"BNS 303(2), 3(5)","[""A-SYN-1012""]",V-SYN-08012,KA-SYN-03012,PH-SYN-05012,true,SYNTHETIC DEMO DATA
SYN-2026-MYS-0014,Mysuru,PS-MYS-SYN-02,Chain Snatching,2024-08-14,17:49,12.36337,76.60859,Under Investigation,"Rider and pillion approach a pedestrian from the left, snatch jewellery and leave on a scooter.",Synthetic report of evening chain snatching near a commercial or transit corridor.,"BNS 304(2), 3(5)","[""A-SYN-1013""]",V-SYN-08013,NA,PH-SYN-05013,true,SYNTHETIC DEMO DATA
SYN-2026-HBL-0015,Hubballi-Dharwad,PS-HBL-SYN-03,House Burglary,2024-08-15,22:02,15.3307,75.13838,Charge Sheet Filed,Rear entry is forced while occupants are away and compact valuables are removed without disturbing larger items.,Synthetic report of residential burglary during a predictable unoccupied window.,"BNS 305, 331(4)","[""A-SYN-1014""]",V-SYN-08014,NA,PH-SYN-05014,true,SYNTHETIC DEMO DATA
