fir_id,data_version,language,case_summary,mo,crime_type_label,district_label
SYN-2025-BLR-001,synthetic-20260717-1000,en,Synthetic report: black motorcycle removed from public parking near Jayanagar metro after 9 PM.,"Two-person team targets bikes parked near metro exit, breaks handle lock, uses duplicate ignition key.",Motorcycle Theft,Bengaluru South
SYN-2025-BLR-001,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-BLR-001 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-BLR-001 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ
SYN-2025-BLR-014,synthetic-20260717-1000,en,Synthetic report: motorcycle stolen near Banashankari bus stand during evening crowd.,"Two-person team targets commuter bikes near bus stop, breaks handle lock, moves vehicle towards outer ring road.",Motorcycle Theft,Bengaluru South
SYN-2025-BLR-014,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-BLR-014 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-BLR-014 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳವು,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ
SYN-2025-MYS-006,synthetic-20260717-1000,en,Synthetic report: evening chain snatching reported near crowded commercial lane.,Rider-pillion pair on scooter approaches pedestrian from left side and snatches gold chain near market road.,Chain Snatching,Mysuru
SYN-2025-MYS-006,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸರ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-MYS-006 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-MYS-006 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಸರ ಕಳವು,ಮೈಸೂರು
SYN-2025-MYS-011,synthetic-20260717-1000,en,Synthetic report: similar evening chain snatching with scooter-based escape.,Rider-pillion pair on scooter approaches pedestrian from left side; target selected near dimly-lit lane.,Chain Snatching,Mysuru
SYN-2025-MYS-011,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಮೈಸೂರು ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸರ ಕಳವು. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-MYS-011 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-MYS-011 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಸರ ಕಳವು,ಮೈಸೂರು
SYN-2025-HUB-009,synthetic-20260717-1000,en,Synthetic report: victim lost money after responding to fake bank verification call.,"Caller impersonates bank support, sends malicious UPI collect request, transfers amount through mule account.",UPI Fraud,Hubballi-Dharwad
SYN-2025-HUB-009,synthetic-20260717-1000,kn,ಕೃತಕ ಪ್ರಕರಣ ದಾಖಲೆ: ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಯುಪಿಐ ವಂಚನೆ. ಪರಿಶೀಲನೆಗಾಗಿ SYN-2025-HUB-009 ಮೂಲ ದಾಖಲೆಯನ್ನು ನೋಡಿ.,ಕಾರ್ಯವಿಧಾನದ ಸಂಪೂರ್ಣ ವಿವರವನ್ನು SYN-2025-HUB-009 ಇಂಗ್ಲಿಷ್ ಮೂಲ ದಾಖಲೆಯೊಂದಿಗೆ ಮಾನವ ಪರಿಶೀಲನೆ ಮಾಡಬೇಕು.,ಯುಪಿಐ ವಂಚನೆ,ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ
